Date,Predicted Price,Lower Bound,Upper Bound
2025-04-01,257.6630314610002,224.16683737107016,291.15922555093016
2025-04-02,253.51427665485235,220.55742068972154,286.4711326199831
2025-04-03,250.1143137026606,217.59945292131474,282.62917448400646
2025-04-04,247.0019767458061,214.89171976885132,279.1122337227609
2025-04-07,244.00774836816936,212.28674108030734,275.72875565603135
2025-04-08,241.05234291262033,209.71553833397968,272.3891474912609
2025-04-09,238.1026137326834,207.14927394743455,269.0559535179322
2025-04-10,235.14970303530464,204.58024164071503,265.7191644298942
2025-04-11,232.19686241540256,202.01127030140023,262.38245452940487
2025-04-14,229.25245912369428,199.44963943761402,259.0552788097745
2025-04-15,226.32626196043074,196.90384790557474,255.74867601528672
2025-04-16,223.4278575244235,194.38223604624844,252.47347900259854
2025-04-17,220.56568314386635,191.89214433516372,249.23922195256895
2025-04-18,217.7467745974192,189.4396938997547,246.05385529508368
2025-04-21,214.97680816069422,187.02982309980396,242.92379322158445
